#
# $static-counts
#
#     opcode       count-unpredicated    count-predicated
#
 423 MOVZX                      22450                0
 427 MUL                            4                0
 434 NEG                          163                0
 435 NOP                         1718                0
 444 NOT                           19                0
 445 OR                           929                0
 477 PCMPEQB                     3216                0
 540 PMINUB                        66                0
 543 PMOVMSKB                    1771                0
 564 POP                        13594                0
 571 POR                          240                0
 582 PSHUFD                       169                0
 590 PSLLDQ                       580                0
 596 PSRLDQ                       144                0
 599 PSUBB                       1282                0
 613 PUNPCKLBW                    226                0
 616 PUNPCKLWD                    112                0
 617 PUSH                       16248                0
 623 PXOR                        2147                0
 634 RDTSC                          9                0
 637 RET_NEAR                    5763                0
 638 ROL                          108                0
 639 ROR                           16                0
 650 SAR                          697                0
 652 SBB                           14                0
 657 SETB                         333                0
 658 SETBE                        150                0
 662 SETNBE                        69                0
 668 SETNZ                       8026                0
 672 SETZ                        2288                0
 682 SHL                         3433                0
 685 SHR                         5704                0
 707 STOSQ                          0             1325
 710 SUB                        10324                0
 716 SYSCALL                      102                0
 723 TEST                       43197                0
 998 VMOVDQU                       80                0
1426 XCHG                         538                0
1428 XGETBV                         1                0
1430 XOR                        11374                0
1433 XRSTOR                        43                0
1439 XSAVEC                        43                0
3000 *total                    616363             2393
3001 *mem-atomic                   28                0
3002 *stack-read                64451                0
3003 *stack-write               50775                0
3004 *iprel-read                 7551                0
3005 *iprel-write                 776                0
3007 *mem-read-1                34508                0
3008 *mem-read-2                 4797                0
3010 *mem-read-4                20588                0
3014 *mem-read-8                92781                0
3022 *mem-read-16                1924                0
3519 *mem-write-1                5830                0
3520 *mem-write-2                 124                0
3522 *mem-write-4                6322                0
3526 *mem-write-8               53017                0
3534 *mem-write-16                668                0
3582 *mem-write-64                 43                0
4094 LAST                          43                0
# $eof
